source_tbl,Tar_tbl,weight
SDS.CCB_CI_ACCT,EDS.DIM_ACCT,1
SDS.CCB_CI_ACCT,BAL.UNICA_CUST_ORG_PREMISE,1
SDS.CCB_CI_ACCT,BAL.ESC_REP_52_DISCONOTE,1
SDS.CCB_CI_ACCT,BAL.UNICA_CHURN_EVENT,1
SDS.CCB_CI_ACCT,BAL.UNICA_EVENT,1
SDS.CCB_CI_ACCT,BAL.UNICA_MODEL_SCORES,1
SDS.CCB_CI_ACCT,BAL.ACN_SALESLIFECYCLE_V(View),1
SDS.CCB_CI_ACCT,BAL.BA_MGMTREPORTING_V(View),1
SDS.CCB_CI_ACCT,BAL.BILLING_ELEC_USAGE_SUMMARY_V(View),1
SDS.CCB_CI_ACCT,BAL.CE_DIM_ACCT_PROFILE_V(View),1
SDS.CCB_CI_ACCT,BAL.CE_DIM_OVERDUE_ACCT_V(View),1
SDS.CCB_CI_BILL_CHG,BAL.UNICA_MODEL_SCORES,1
SDS.CCB_CI_BILL_CHG,BAL.ACN_SALESLIFECYCLE_V(View),1
SDS.CCB_CI_BILL_CHG,BAL.BA_MGMTREPORTING_V(View),1
SDS.CCB_CI_BILL_CHG,BAL.BILLING_ELEC_USAGE_SUMMARY_V(View),1
SDS.CCB_CI_BILL_CHG,BAL.CE_DIM_ACCT_PROFILE_V(View),1
SDS.CCB_CI_BILL_CHG,BAL.CE_DIM_OVERDUE_ACCT_V(View),1
EDS.DIM_ACCT,BAL.CE_DIM_OVERDUE_ACCT_V(View),1
BAL.ACN_SALESLIFECYCLE_V(View),Report ABC,1
BDS.CCB_CI_ACCT,TAL.CE_DIM_ACCT_PROFILE_V(View),1
BDS.CCB_CI_ACCT,TAL.CE_DIM_OVERDUE_ACCT_V(View),1
BDS.CCB_CI_BILL_CHG,TAL.UNICA_MODEL_SCORES,1
BDS.CCB_CI_BILL_CHG,TAL.ACN_SALESLIFECYCLE_V(View),1
BDS.CCB_CI_BILL_CHG,TAL.BA_MGMTREPORTING_V(View),1
BDS.CCB_CI_BILL_CHG,TAL.BILLING_ELEC_USAGE_SUMMARY_V(View),1
BDS.CCB_CI_BILL_CHG,TAL.CE_DIM_ACCT_PROFILE_V(View),1
BDS.CCB_CI_BILL_CHG,TAL.CE_DIM_OVERDUE_ACCT_V(View),1
EDS.DIM_ACCT,TAL.CE_DIM_OVERDUE_ACCT_V(View),1
TAL.ACN_SALESLIFECYCLE_V(View),Report ABC,1